Review;Label;Sentiment;Domain
I love the app, I have used it for years The only problem is that with the new update, it won't allow me to add videos. Please fix it.;Usa;Positive;PhotosVideos   
It would be better if they actually released the messages instead of just the beta;Mis;Positive;PhotosVideos    
Needs to be an option to pay monthly, or to open the deleted pictures and do something with them.;Mis;Negative;PhotosVideos    
Please let there be a one week free trial I would get premium but I would like to try it out first;Mis;Positive;PhotosVideos    
Can\'t connect to server. Failed big time. Please fix the problem.;Sup;Negative;PhotosVideos   
I Just got my new phone and the app asked for my old email which I not longer have causing me to lose everything I had on this app. Kinda frustrating that it couldn't transfer over like all my other apps did.;Mis;Negative;PhotosVideos    
I've been having keep safe since it came out and I hate the new update bc I can't see my own photos I WAS look forward to seeing them and recovering them to my new iPod but it's not letting me  All I see is a purple square  Very upset  Fix the app now ;Sup,Usa;Negative;PhotosVideos   
It keeps saying it cannot connect to server. I tried on my girl's phone and it worked just fine. This hurts me;Sup;Negative;PhotosVideos   
Logged in from a new device as a premium member  nothing from my last one would transfer even though I had it on the cloud;Usa,Sup;Neutral;PhotosVideos   
Or syncing with the laptop. Although the pic or video can be viewed, it cannot be downloaded to the laptop.;Sup;Neutral;PhotosVideos   
You used to be able to move and copy pics back to your photo album on your device.   This option disappears.  Share says it exports to camera roll but nothing appears.  Move only allows you to move to other KS albums.   I'm sure it's a paid only feature now.   Don't put a free app out there only to downgrade it out of greed. Lame.;Usa;Negative;PhotosVideos    
I hate how it automatically zooms in to the pictures but other than that decent app;Usa;Negative;PhotosVideos    
just needs to stop the auto zoom in when you put a photo in the album;Usa;Negative;PhotosVideos    
My main issue with this app is that it is resizing some of my photos and won't allow me to zoom in to get it to full screen. The photos that are sized properly it pushes them off the the side until I zoom in on it and it recenters it;Usa;Negative;PhotosVideos   
The application updated without my knowledge, and stopped halfway I then checked back and it DELETED the app. I was furious, I redownloaded it and experienced the same problems as everyone else ;Dep;Negative;PhotosVideos   
Updates have not fixed the problem. Fix the app before updating.;Sup;Positive;PhotosVideos   
A really good app I love it so much;Mis;Positive;PhotosVideos   
A very secure app to hold on your pictures and videos that you don't wanna anybody to see;Mis;Positive;PhotosVideos   
Absolute Love it Very Secure;Mis;Positive;PhotosVideos    
Absolutely love this app and its features highly recommend to anyone interested;Mis;Positive;PhotosVideos   
Absolutely love this app I pray I never lose these pics I saved. They mean the world to me;Mis;Positive;PhotosVideos   
Ads. Ads. Ads. Can't view a photo unless you view an add. Plus photos are poorly optimized for the phone. 0 stars would be the rating if possible.;Usa;Positive;PhotosVideos    
All my pics are hidden, and protected You spend the extra money for bigger storage all well worth ;Mis;Positive;PhotosVideos   
All my pictures were in the main album. Key word were they are all gone now. For what reason All my photos are gone and I did not delete them have no reason to;Dep;Negative;PhotosVideos   
Also after reading some of the reviews of this app, it's clear that a lot of them are fake. Not worth the download.;Mis;Positive;PhotosVideos    
Amazing app I love it ;Mis;Positive;PhotosVideos   
An awesome way to keep photos private and the fact that the app has its own camera is a big plus;Mis;Positive;PhotosVideos   
and even some of her coworkers also on here reading the Bible;Mis;Neutral;PhotosVideos    
App has never giving me a problem and I used all the time Would totally recommend this app to everyone trying to find a good picture storage app;Mis;Positive;PhotosVideos   
App previously had a lot of bugs, before every time I would go to open the app it crashed immediately. Now everything is resolved and the app works great with enhanced modifications.;Dep;Positive;PhotosVideos   
App was great until I updated it by mistake. Don't think about getting a new phone if you plan to continue to use this app because the update basically erases all your pictures.;Sup;Positive;PhotosVideos   
Awesome app use it a lot;Mis;Positive;PhotosVideos   
Awesome app I looked at a few others but this had everything that I need to keep my things away from others prying eyes;Mis;Positive;PhotosVideos   
Awesome app, everything you will need.;Mis;Positive;PhotosVideos   
Awesome love this app;Mis;Positive;PhotosVideos   
Besides Pandora, this is the only other app I have that's worth the subscription....LOVE IT;Mis;Positive;PhotosVideos   
Best app I've ever used;Mis;Positive;PhotosVideos   
Best keeper app so far;Mis;Positive;PhotosVideos   
Best keepsafe, just prices;Mis;Positive;PhotosVideos   
By far the best and most useful app out there. The free version is great but the paid version is beyond worth it.;Mis;Positive;PhotosVideos   
Can't ask for anything better;Mis;Positive;PhotosVideos   
Can't see dem nudes;Mis;Neutral;PhotosVideos   
Commercial accts need work;Mis;Neutral;PhotosVideos    
DO NOT RISK LOSING EVERYTHING;Mis;Negative;PhotosVideos    
Do not use it people please.;Mis;Positive;PhotosVideos    
Does everything it says it does with no flaws. Would give 1010 if I could.;Mis;Negative;PhotosVideos   
Does what it says, 55;Mis;Neutral;PhotosVideos   
Does what it should, and does it well.;Mis;Positive;PhotosVideos   
Easier to use and keep picture  safer.;Mis;Positive;PhotosVideos   
Easy to use. I strongly suggest to al my friends and people I meet in my line of work to download and even pay for the Premium version. Necessity for all adults nowadays;Mis;Positive;PhotosVideos   
Easy to use. Really good like this one a lot better than all the other ones. 100 on everything. Simple. Couldn't ask for a better app of this sort.;Mis;Positive;PhotosVideos   
Easy to use. The app is great;Mis;Positive;PhotosVideos   
Even though I don't have premium I love it I'll pay for premium when I can, that's a definitely;Mis;Negative;PhotosVideos   
Every time I try to view my files, it claims to be in private cloud when I don't even have that feature enabled. What is a private cloud anyway I don't have that Every time I try to view them, it just goes to a black screen. Fix this ASAP;Usa;Neutral;PhotosVideos   
Everything is cool except for gifs. I upload gifs and when I try to view them, they simply don't animate. I'm sure it's not my way of saving them because I can view the gif in other apps. KeepSafe, fix gifs;Usa;Positive;PhotosVideos  
Excelente app works great for me and keeps my info privately;Mis;Positive;PhotosVideos   
Excellent app I like soo much;Mis;Positive;PhotosVideos   
Excellent app the best;Mis;Positive;PhotosVideos   
Excellent app to store pics;Mis;Positive;PhotosVideos   
Extremely impressed with the quality of the product.;Mis;Positive;PhotosVideos   
Fix this App ASAP ;Mis;Neutral;PhotosVideos   
Glad the app is back to working perfectly ;Mis;Positive;PhotosVideos   
Good App , Keeps Everything Safe. But When I Recently Switched Phones I Lost Lots Of Pics An Vids , Idk What Happened.;Mis;Positive;PhotosVideos  
Good stuff all around.;Mis;Positive;PhotosVideos   
Great ap  it does exactly what I need it to  is user friendly. Totes recommend;Mis;Positive;PhotosVideos   
Great app and with lots of space for a lot pictures and etc;Mis;Positive;PhotosVideos   
Great app for keeping photos of you don't have it you should get it;Mis;Positive;PhotosVideos   
great app for saving your media file  i love it ;Mis;Positive;PhotosVideos   
Great app love it;Mis;Positive;PhotosVideos   
Great app no problems with it;Mis;Positive;PhotosVideos   
Great app, does exactly what it's supposed to. Seamless Sharing between phones and iPads;Mis;Positive;PhotosVideos   
Great app. Clean. Fresh. Discrete. This app saves marriages, relationships, headaches. Just hide all your private pics or vids. Set up a back up password and no one will suspect a thing. This app is a must;Mis;Positive;PhotosVideos   
Great app. I use it all the time for storing all my private pictures.;Mis;Positive;PhotosVideos   
Great app. Just needs to have everything for free Hahahaha;Mis;Positive;PhotosVideos   
Great App. No claims;Mis;Positive;PhotosVideos   
Great for keeping and uploading photos;Mis;Positive;PhotosVideos   
Great for storing any photos that you dont want in your normal album;Mis;Positive;PhotosVideos   
Great interface, really good accessibility with very good security and a lot of options to suit every need. By far one of the best apps I've downloaded.;Mis;Positive;PhotosVideos   
Great tool to maintain privacy;Mis;Positive;PhotosVideos   
