"content_review","sentiment_analysis","domain_name","label"
"I love the app, I have used it for years The only problem is that with the new update, it won't allow me to add videos. Please fix it.","Positive","PhotosVideos","Usa"
"It would be better if they actually released the messages instead of just the beta ","Positive","PhotosVideos","Mis"
"Needs to be an option to pay monthly, or to open the deleted pictures and do something with them. ","Negative","PhotosVideos","Mis"
"Please let there be a one week free trial I would get premium but I would like to try it out first ","Positive","PhotosVideos","Mis"
"Can\'t connect to server. Failed big time. Please fix the problem.","Negative","PhotosVideos","Sup"
"I Just got my new phone and the app asked for my old email which I not longer have causing me to lose everything I had on this app. Kinda frustrating that it couldn't transfer over like all my other apps did. ","Negative","PhotosVideos","Mis"
"I've been having keep safe since it came out and I hate the new update bc I can't see my own photos I WAS look forward to seeing them and recovering them to my new iPod but it's not letting me  All I see is a purple square  Very upset  Fix the app now ","Negative","PhotosVideos","Sup,Usa"
"It keeps saying it cannot connect to server. I tried on my girl's phone and it worked just fine. This hurts me","Negative","PhotosVideos","Sup"
"Logged in from a new device as a premium member  nothing from my last one would transfer even though I had it on the cloud","Neutral","PhotosVideos","Usa,Sup"
"Or syncing with the laptop. Although the pic or video can be viewed, it cannot be downloaded to the laptop.","Neutral","PhotosVideos","Sup"
"You used to be able to move and copy pics back to your photo album on your device.This option disappears.  Share says it exports to camera roll but nothing appears.  Move only allows you to move to other KS albums.I'm sure it's a paid only feature now.Don't put a free app out there only to downgrade it out of greed. Lame. ","Negative","PhotosVideos","Usa"
"I hate how it automatically zooms in to the pictures but other than that decent app ","Negative","PhotosVideos","Usa"
"just needs to stop the auto zoom in when you put a photo in the album ","Negative","PhotosVideos","Usa"
"My main issue with this app is that it is resizing some of my photos and won't allow me to zoom in to get it to full screen. The photos that are sized properly it pushes them off the the side until I zoom in on it and it recenters it","Negative","PhotosVideos","Usa"
"The application updated without my knowledge, and stopped halfway I then checked back and it DELETED the app. I was furious, I redownloaded it and experienced the same problems as everyone else ","Negative","PhotosVideos","Dep"
"Updates have not fixed the problem. Fix the app before updating.","Positive","PhotosVideos","Sup"
"A really good app I love it so much","Positive","PhotosVideos","Mis"
"A very secure app to hold on your pictures and videos that you don't wanna anybody to see","Positive","PhotosVideos","Mis"
"Absolute Love it Very Secure ","Positive","PhotosVideos","Mis"
"Absolutely love this app and its features highly recommend to anyone interested","Positive","PhotosVideos","Mis"
"Absolutely love this app I pray I never lose these pics I saved. They mean the world to me","Positive","PhotosVideos","Mis"
"Ads. Ads. Ads. Can't view a photo unless you view an add. Plus photos are poorly optimized for the phone. 0 stars would be the rating if possible. ","Positive","PhotosVideos","Usa"
"All my pics are hidden, and protected You spend the extra money for bigger storage all well worth ","Positive","PhotosVideos","Mis"
"All my pictures were in the main album. Key word were they are all gone now. For what reason All my photos are gone and I did not delete them have no reason to","Negative","PhotosVideos","Dep"
"Also after reading some of the reviews of this app, it's clear that a lot of them are fake. Not worth the download. ","Positive","PhotosVideos","Mis"
"Amazing app I love it ","Positive","PhotosVideos","Mis"
"An awesome way to keep photos private and the fact that the app has its own camera is a big plus","Positive","PhotosVideos","Mis"
"and even some of her coworkers also on here reading the Bible ","Neutral","PhotosVideos","Mis"
"App has never giving me a problem and I used all the time Would totally recommend this app to everyone trying to find a good picture storage app","Positive","PhotosVideos","Mis"
"App previously had a lot of bugs, before every time I would go to open the app it crashed immediately. Now everything is resolved and the app works great with enhanced modifications.","Positive","PhotosVideos","Dep"
"App was great until I updated it by mistake. Don't think about getting a new phone if you plan to continue to use this app because the update basically erases all your pictures.","Positive","PhotosVideos","Sup"
"Awesome app use it a lot","Positive","PhotosVideos","Mis"
"Awesome app I looked at a few others but this had everything that I need to keep my things away from others prying eyes","Positive","PhotosVideos","Mis"
"Awesome app, everything you will need.","Positive","PhotosVideos","Mis"
"Awesome love this app","Positive","PhotosVideos","Mis"
"Besides Pandora, this is the only other app I have that's worth the subscription....LOVE IT","Positive","PhotosVideos","Mis"
"Best app I've ever used","Positive","PhotosVideos","Mis"
"Best keeper app so far","Positive","PhotosVideos","Mis"
"Best keepsafe, just prices","Positive","PhotosVideos","Mis"
"By far the best and most useful app out there. The free version is great but the paid version is beyond worth it.","Positive","PhotosVideos","Mis"
"Can't ask for anything better","Positive","PhotosVideos","Mis"
"Can't see dem nudes","Neutral","PhotosVideos","Mis"
